Date,Open,High,Low,Close,Change %,Volume
"Feb. 09, 2021",56.83,60.00,56.59,59.44,+3.86,"1,528,672"
"Feb. 08, 2021",57.15,58.07,56.29,57.23,+1.80,"1,012,380"
"Feb. 05, 2021",55.80,56.92,54.23,56.22,+1.77,"1,395,453"
"Feb. 04, 2021",54.00,55.86,53.50,55.24,+3.64,"3,028,295"
"Feb. 03, 2021",54.06,54.53,53.19,53.30,-1.71,"1,754,845"
"Feb. 02, 2021",53.18,54.63,52.93,54.23,+4.27,"5,636,507"
"Feb. 01, 2021",52.44,52.98,51.06,52.01,+6.25,"4,326,717"
"Jan. 29, 2021",50.00,51.36,48.36,48.95,-1.45,"3,450,982"
"Jan. 28, 2021",48.18,50.23,47.92,49.67,+5.75,"5,095,830"
"Jan. 27, 2021",51.17,51.17,46.76,46.97,-8.80,"3,359,397"
"Jan. 26, 2021",54.48,54.80,51.39,51.50,-4.51,"1,608,071"
"Jan. 25, 2021",56.23,56.33,53.29,53.93,-3.85,"1,519,150"
"Jan. 22, 2021",56.46,57.07,55.64,56.09,-1.79,"948,523"
"Jan. 21, 2021",59.38,59.38,56.69,57.11,-1.65,"1,304,252"
"Jan. 20, 2021",55.33,58.94,55.28,58.07,+5.79,"1,983,989"
"Jan. 19, 2021",54.58,55.95,53.31,54.89,+4.53,"2,262,237"
"Jan. 15, 2021",53.01,53.85,52.25,52.51,-1.67,"1,162,592"
"Jan. 14, 2021",52.86,54.57,52.86,53.40,+1.06,"1,090,064"
"Jan. 13, 2021",52.77,53.43,52.48,52.84,+0.11,"1,331,754"
"Jan. 12, 2021",52.86,53.49,52.48,52.78,-0.19,"1,531,376"
"Jan. 11, 2021",53.79,54.00,52.41,52.88,-3.15,"2,287,075"
"Jan. 08, 2021",54.84,55.15,53.73,54.60,+1.49,"3,821,780"
"Jan. 07, 2021",53.00,55.41,52.61,53.80,+2.93,"3,171,730"
"Jan. 06, 2021",53.83,54.37,51.72,52.27,-3.90,"1,568,850"
"Jan. 05, 2021",54.34,55.23,54.25,54.39,-0.20,"1,648,662"
"Jan. 04, 2021",56.65,56.93,53.64,54.50,-4.18,"1,428,365"
"Dec. 31, 2020",55.82,57.46,55.45,56.88,+1.70,"2,303,415"
"Dec. 30, 2020",54.67,55.99,54.39,55.93,+3.29,"994,133"
"Dec. 29, 2020",55.15,55.23,53.16,54.15,-0.86,"562,378"
"Dec. 28, 2020",54.47,55.06,53.01,54.62,+1.49,"1,116,919"
"Dec. 24, 2020",53.87,54.34,53.57,53.82,-0.06,"333,978"
"Dec. 23, 2020",54.83,55.72,53.55,53.85,-1.73,"915,152"
"Dec. 22, 2020",54.23,55.14,53.77,54.80,+1.35,"781,918"
"Dec. 21, 2020",53.93,55.22,52.94,54.07,-0.55,"1,293,910"
"Dec. 18, 2020",54.54,56.00,54.00,54.37,-0.38,"2,317,650"
"Dec. 17, 2020",54.50,55.22,53.75,54.58,+1.19,"1,519,719"
"Dec. 16, 2020",53.13,54.27,52.10,53.94,+2.28,"1,272,865"
"Dec. 15, 2020",50.60,53.00,50.33,52.74,+5.82,"2,406,167"
